"ID";"parameter_name";"par_value";"unit";"statistics";"SE";"min";"max";"SD";"day";"month";"sample_size";"observation_unit";"type of nest";"FirstAuthor";"Jahr";"Journal";"country";"Elevation";"Elevation_min";"Elevation_max";"mountain_name";"latGrad";"latMin";"lonGrad";"lonMin";"Methode";"size_studyarea";"begin_year";"end_year";"Bemerkung";"Feld1"
31;"first_egg";;"date";"max";;;;;4;6;5;"brood";"on human constructions";"Lang";"1946";"Der Ornithologische Beobachter";"Switzerland";;1447;2429;"Alpes";46;38;8;35;"observation";;1939;1945;;
32;"last_egg";;"date";"mean";;;;;4;6;5;"brood";"on human constructions";"Lang";"1946";"Der Ornithologische Beobachter";"Switzerland";;1447;2429;"Alpes";46;38;8;35;"observation";;1939;1945;;
33;"last_egg";;"date";"min";;;;;27;5;5;"brood";"on human constructions";"Lang";"1946";"Der Ornithologische Beobachter";"Switzerland";;1447;2429;"Alpes";46;38;8;35;"observation";;1939;1945;;
34;"last_egg";;"date";"max";;;;;8;6;5;"brood";"on human constructions";"Lang";"1946";"Der Ornithologische Beobachter";"Switzerland";;1447;2429;"Alpes";46;38;8;35;"observation";;1939;1945;;
35;"hatching";;"date";"mean";;;;;18;6;5;"brood";"on human constructions";"Lang";"1946";"Der Ornithologische Beobachter";"Switzerland";;1447;2429;"Alpes";46;38;8;35;"observation";;1939;1945;;
36;"hatching";;"date";"min";;;;;10;6;5;"brood";"on human constructions";"Lang";"1946";"Der Ornithologische Beobachter";"Switzerland";;1447;2429;"Alpes";46;38;8;35;"observation";;1939;1945;;
37;"hatching";;"date";"max";;;;;21;6;5;"brood";"on human constructions";"Lang";"1946";"Der Ornithologische Beobachter";"Switzerland";;1447;2429;"Alpes";46;38;8;35;"observation";;1939;1945;;
38;"prop_second_brood";1.00;"probability";;;;;;;;26;"pairs";;"Strinella";"2011";"Aula";"Italy";2170;;;"Central Apennines";42;27;13;33;"observation";;2003;2010;;
39;"clutch_size";4.40;"number of eggs";"mean";0.10;;;;;;48;"brood";;"Strinella";"2011";"Aula";"Italy";2170;;;"Central Apennines";42;27;13;33;"observation";;2003;2010;;
40;"incubation_period";15.50;"day";"mean";;;;;;;;"brood";;"Strinella";"2011";"Aula";"Italy";2170;;;"Central Apennines";42;27;13;33;"observation";;2003;2010;;
41;"nestling_period";21.00;"day";"mean";;20.00;22.00;;;;;"brood";;"Strinella";"2011";"Aula";"Italy";2170;;;"Central Apennines";42;27;13;33;"observation";;2003;2010;;
42;"start_nest_building";;"date";"mean";;;;;24;5;5;"brood";"natural";"Catzeflis";"1975";"Nos Oiseaux";"France";2300;;;"Western Alps";46;2;6;58;"observation";;1973;1974;;
